team	number	name	height	kg	birth	position
강원FC	75	권재범	189Cm	87Kg	2001/07/08	GK
강원FC	25	김정호	184Cm	82Kg	1998/04/07	GK
강원FC	31	박희근	184Cm	76Kg	1999/08/28	GK
강원FC	1	유상훈	194Cm	84Kg	1989/05/25	GK
강원FC	32	이광연	184Cm	85Kg	1999/09/11	GK
경남FC	88	고동민	188Cm	72Kg	1999/01/12	GK
경남FC	1	김민준	188Cm	83Kg	2000/01/09	GK
경남FC	31	손정현	191Cm	88Kg	1991/11/25	GK
경남FC	87	안호진	189Cm	80Kg	2003/01/13	GK
광주FC	1	김경민	190Cm	78Kg	1991/11/01	GK
광주FC	32	노희동	194Cm	85Kg	2002/06/03	GK
광주FC	21	이준	188Cm	79Kg	1997/07/14	GK
김천 상무 프로축구단	18	강정묵	188Cm	82Kg	1996/03/21	GK
김천 상무 프로축구단	25	구성윤	197Cm	95Kg	1994/06/27	GK
김천 상무 프로축구단	12	김정훈	188Cm	80Kg	2001/04/20	GK
김천 상무 프로축구단	1	황인재	187Cm	73Kg	1994/04/22	GK
김포FC	21	김근배	187Cm	80Kg	1986/08/07	GK
김포FC	41	송민혁	185Cm	80Kg	2001/04/01	GK
김포FC	1	이상욱	190Cm	90Kg	1990/03/09	GK
김포FC	31	최봉진	193Cm	88Kg	1992/04/06	GK
대구FC	21	오승훈	192Cm	75Kg	1988/06/30	GK
대구FC	31	이윤오	190Cm	84Kg	1999/03/23	GK
대구FC	41	이학윤	189Cm	75Kg	2000/03/09	GK
대구FC	1	최영은	189Cm	78Kg	1995/09/26	GK
대구FC	51	한지율	193Cm	88Kg	2003/08/21	GK
대전 하나 시티즌	38	김병엽	188Cm	78Kg	1999/04/21	GK
대전 하나 시티즌	31	김태양	188Cm	64Kg	2000/03/02	GK
대전 하나 시티즌	25	이준서	185Cm	82Kg	1998/03/07	GK
대전 하나 시티즌	1	이창근	186Cm	75Kg	1993/08/30	GK
대전 하나 시티즌	23	정산	191Cm	86Kg	1989/02/10	GK
부산 아이파크	1	구상민	186Cm	85Kg	1991/10/31	GK
부산 아이파크	13	안준수	187Cm	75Kg	1998/01/28	GK
부산 아이파크	91	전종혁	185Cm	85Kg	1996/03/21	GK
부산 아이파크	29	진필립	188Cm	80Kg	2000/09/02	GK
부천 FC 1995	39	김호준1	190Cm	90Kg	1984/06/21	GK
부천 FC 1995	21	이주현	188Cm	78Kg	1998/12/06	GK
부천 FC 1995	1	최철원	194Cm	87Kg	1994/07/23	GK
FC서울	1	백종범	190Cm	82Kg	2001/01/21	GK
FC서울	21	양한빈	195Cm	90Kg	1991/08/30	GK
FC서울	91	정진욱	188Cm	78Kg	1997/05/28	GK
FC서울	18	황성민	188Cm	83Kg	1991/06/23	GK
서울 이랜드 FC	1	김형근	188Cm	78Kg	1994/01/06	GK
서울 이랜드 FC	13	문정인	193Cm	83Kg	1998/03/16	GK
서울 이랜드 FC	77	윤보상	185Cm	91Kg	1993/09/09	GK
서울 이랜드 FC	31	주현성	184Cm	79Kg	1999/03/31	GK
성남FC	41	김영광	183Cm	87Kg	1983/06/28	GK
성남FC	31	정명제	192Cm	80Kg	2002/06/30	GK
성남FC	1	최필수	190Cm	85Kg	1991/06/20	GK
성남FC	21	허자웅	185Cm	70Kg	1998/05/12	GK
수원 삼성 블루윙즈	19	노동건	190Cm	88Kg	1991/10/04	GK
수원 삼성 블루윙즈	34	박지민	188Cm	85Kg	2000/05/25	GK
수원 삼성 블루윙즈	21	양형모	185Cm	84Kg	1991/07/16	GK
수원 삼성 블루윙즈	31	이성주	192Cm	84Kg	1999/04/03	GK
수원FC	40	김찬용	180Cm	65Kg	2000/07/26	GK
수원FC	1	박배종	185Cm	78Kg	1989/10/23	GK
수원FC	51	유현	184Cm	82Kg	1984/08/01	GK
수원FC	27	이범영	197Cm	95Kg	1989/04/02	GK
안산 그리너스 축구단	19	김선우	188Cm	81Kg	1993/04/22	GK
안산 그리너스 축구단	41	김원중	190Cm	84Kg	2001/04/04	GK
안산 그리너스 축구단	1	이승빈	184Cm	80Kg	1990/05/27	GK
안산 그리너스 축구단	31	이찬우	185Cm	81Kg	1997/06/27	GK
